.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
pthread_mutex_unlock                         .plt   0000000000011654 0000000C                           R . . . . T .
strstr                                       .plt   0000000000011660 0000000C                           R . . . . T .
raise                                        .plt   000000000001166C 0000000C                           R . . . . T .
log                                          .plt   0000000000011678 0000000C                           R . . . . T .
pthread_mutexattr_init                       .plt   0000000000011684 0000000C                           R . . . . T .
strcmp                                       .plt   0000000000011690 0000000C                           R . . . . T .
strtol                                       .plt   000000000001169C 0000000C                           R . . . . T .
getpwuid                                     .plt   00000000000116A8 0000000C                           R . . . . T .
strcspn                                      .plt   00000000000116B4 0000000C                           R . . . . T .
printf                                       .plt   00000000000116C0 0000000C                           R . . . . T .
read                                         .plt   00000000000116CC 0000000C                           R . . . . T .
pthread_mutex_destroy                        .plt   00000000000116D8 0000000C                           R . . . . T .
fflush                                       .plt   00000000000116E4 0000000C                           R . . . . T .
getuid                                       .plt   00000000000116F0 0000000C                           R . . . . T .
memmove                                      .plt   00000000000116FC 0000000C                           R . . . . T .
free                                         .plt   0000000000011708 0000000C                           R . . . . T .
fgets                                        .plt   0000000000011714 0000000C                           R . . . . T .
pthread_mutex_lock                           .plt   0000000000011720 0000000C                           R . . . . T .
memcpy                                       .plt   000000000001172C 0000000C                           R . . . . T .
mmap64                                       .plt   0000000000011738 0000000C                           R . . . . . .
tolower                                      .plt   0000000000011744 0000000C                           R . . . . T .
pthread_mutex_init                           .plt   0000000000011750 0000000C                           R . . . . T .
signal                                       .plt   000000000001175C 0000000C                           R . . . . T .
time                                         .plt   0000000000011768 0000000C                           R . . . . T .
rmdir                                        .plt   0000000000011774 0000000C                           R . . . . T .
pthread_mutex_trylock                        .plt   0000000000011780 0000000C                           R . . . . T .
ftruncate64                                  .plt   000000000001178C 0000000C                           R . . . . . .
ftell                                        .plt   0000000000011798 0000000C                           R . . . . T .
memcmp                                       .plt   00000000000117A4 0000000C                           R . . . . T .
strdup                                       .plt   00000000000117B0 0000000C                           R . . . . T .
__stack_chk_fail                             .plt   00000000000117BC 0000000C                           . . . . . . .
rewind                                       .plt   00000000000117C8 0000000C                           R . . . . T .
dlclose                                      .plt   00000000000117D4 0000000C                           R . . . . T .
sysconf                                      .plt   00000000000117E0 0000000C                           R . . . . T .
unlink                                       .plt   00000000000117EC 0000000C                           R . . . . T .
realloc                                      .plt   00000000000117F8 0000000C                           R . . . . T .
dlerror                                      .plt   0000000000011804 0000000C                           R . . . . T .
localtime_r                                  .plt   0000000000011810 0000000C                           R . . . . T .
chdir                                        .plt   000000000001181C 0000000C                           R . . . . T .
geteuid                                      .plt   0000000000011828 0000000C                           R . . . . T .
