_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
_ftext                                       .text       00000000004028D0 00000058 00000010 00000005 R . . . . . .
deregister_tm_clones                         .text       0000000000402930 00000040                   R . . . . . .
register_tm_clones                           .text       0000000000402970 0000004C                   R . . . . . .
__do_global_dtors_aux                        .text       00000000004029BC 000000B0 00000014 00000000 R . . . . . .
frame_dummy                                  .text       0000000000402A6C 00000050 00000010 00000000 R . . . . . .
timeOfDay                                    .text       0000000000402AC0 00000164 00000028 00000000 R . . . . . .
beginTimer                                   .text       0000000000402C24 00000080 00000010 00000000 R . . . . . .
timeDiff                                     .text       0000000000402CA4 00000070 00000004 00000008 R . . . . . .
endTimer                                     .text       0000000000402D14 0000017C 00000088 00000000 R . . . . . .
shell_out_of_memory                          .text       0000000000402E90 00000060 00000010 00000000 R . . . . . .
utf8_width_print                             .text       0000000000402EF0 00000220 00000418 00000008 R . . . . . .
isNumber                                     .text       0000000000403110 00000310 00000010 00000008 R . . . . . .
strlen30                                     .text       0000000000403420 00000060 0000000C 00000004 R . . . . . .
strlenChar                                   .text       0000000000403480 00000070 0000000C 00000004 R . . . . . .
local_getline                                .text       00000000004034F0 000001F0 00000018 00000008 R . . . . . .
one_input_line                               .text       00000000004036E0 000000F8 00000018 0000000C R . . . . . .
hexDigitValue                                .text       00000000004037D8 000000BC 00000004 00000001 R . . . . . .
integerValue                                 .text       0000000000403894 000003AC 00000058 00000004 R . . . . . .
initText                                     .text       0000000000403C40 0000005C 00000010 00000004 R . . . . . .
freeText                                     .text       0000000000403C9C 0000006C 00000010 00000004 R . . . . . .
appendText                                   .text       0000000000403D08 000002D0 00000020 00000009 R . . . . . .
quoteChar                                    .text       0000000000403FD8 00000164 00000018 00000004 R . . . . . .
shellFakeSchema                              .text       000000000040413C 00000314 00000050 00000000 R . . . . . .
shellModuleSchema                            .text       0000000000404450 00000104 00000018 0000000C R . . . . . .
shellAddSchemaName                           .text       0000000000404554 000003F0 00000040 0000000C R . . . . . .
KeccakF1600Step                              .text       0000000000404944 00006E7C 00001260 00000004 R . . . . . .
SHA3Init                                     .text       000000000040B7C0 00000100 00000010 00000008 R . . . . . .
SHA3Update                                   .text       000000000040B8C0 000000FC 0000000C 0000000C R . . . . . .
SHA3Final                                    .text       000000000040B9BC 00000184 00000028 00000000 R . . . . . .
sha3Func                                     .text       000000000040BB40 00000290 00000680 00000008 R . . . . . .
hash_step_vformat                            .text       000000000040BDD0 000000EC 00000058 00000010 R . . . . . .
sha3QueryFunc                                .text       000000000040BEBC 00000824 000006E8 00000008 R . . . . . .
sqlite3_shathree_init                        .text       000000000040C6E0 0000017C 00000028 0000000C R . . . . . .
readFileContents                             .text       000000000040C85C 00000188 00000020 00000008 R . . . . . .
readfileFunc                                 .text       000000000040C9E4 00000090 00000018 0000000C R . . . . . .
ctxErrorMsg                                  .text       000000000040CA74 000000E0 00000028 00000010 R . . . . . .
fileStat                                     .text       000000000040CB54 00000058 00000010 00000008 R . . . . . .
fileLinkStat                                 .text       000000000040CBAC 00000058 00000010 00000008 R . . . . . .
makeDirectory                                .text       000000000040CC04 0000020C 000000D8 00000008 R . . . . . .
writeFile                                    .text       000000000040CE10 000003CC 000000E8 00000018 R . . . . . .
writefileFunc                                .text       000000000040D1DC 000002C0 00000030 0000000C R . . . . . .
lsModeFunc                                   .text       000000000040D49C 00000224 00000040 00000008 R . . . . . .
fsdirConnect                                 .text       000000000040D6C0 000000DC 00000018 00000014 R . . . . . .
fsdirDisconnect                              .text       000000000040D79C 00000054 00000010 00000004 R . . . . . .
fsdirOpen                                    .text       000000000040D7F0 000000AC 00000018 00000008 R . . . . . .
fsdirResetCursor                             .text       000000000040D89C 0000015C 00000018 00000004 R . . . . . .
fsdirClose                                   .text       000000000040D9F8 0000006C 00000018 00000004 R . . . . . .
fsdirSetErrmsg                               .text       000000000040DA64 000000B4 00000028 00000010 R . . . . . .
fsdirNext                                    .text       000000000040DB18 00000440 00000038 00000004 R . . . . . .
fsdirColumn                                  .text       000000000040DF58 0000031C 00000070 0000000C R . . . . . .
fsdirRowid                                   .text       000000000040E274 0000004C 0000000C 00000008 R . . . . . .
fsdirEof                                     .text       000000000040E2C0 0000003C 0000000C 00000004 R . . . . . .
fsdirFilter                                  .text       000000000040E2FC 000002A4 00000018 00000014 R . . . . . .
fsdirBestIndex                               .text       000000000040E5A0 00000278 00000020 00000008 R . . . . . .
fsdirRegister                                .text       000000000040E818 0000006C 00000018 00000004 R . . . . . .
sqlite3_fileio_init                          .text       000000000040E884 0000014C 00000028 0000000C R . . . . . .
completionConnect                            .text       000000000040E9D0 000000E4 00000018 00000014 R . . . . . .
completionDisconnect                         .text       000000000040EAB4 00000054 00000010 00000004 R . . . . . .
completionOpen                               .text       000000000040EB08 000000B0 00000018 00000008 R . . . . . .
completionCursorReset                        .text       000000000040EBB8 000000CC 00000010 00000004 R . . . . . .
completionClose                              .text       000000000040EC84 00000064 00000010 00000004 R . . . . . .
completionNext                               .text       000000000040ECE8 000006A8 00000058 00000000 R . . . . . .
completionColumn                             .text       000000000040F390 00000164 00000018 0000000C R . . . . . .
completionRowid                              .text       000000000040F4F4 0000004C 0000000C 00000008 R . . . . . .
completionEof                                .text       000000000040F540 00000040 0000000C 00000004 R . . . . . .
completionFilter                             .text       000000000040F580 00000374 00000020 00000014 R . . . . . .
completionBestIndex                          .text       000000000040F8F4 00000230 00000020 00000008 R . . . . . .
